"#","Date Time, GMT-07:00","Abs Pres, kPa","Temp, °C","Abs Pres Barom., kPa","Sensor Depth, meters","Coupler Detached","Coupler Attached","Host Connected","End Of File"
26,03/11/18 05:15:00 PM,103.263,18.140,100.296,0.303,,,,
27,03/11/18 05:30:00 PM,103.286,18.236,100.318,0.303,,,,
28,03/11/18 05:45:00 PM,103.284,18.140,100.308,0.304,,,,
29,03/11/18 06:00:00 PM,103.301,17.950,100.307,0.306,,,,
30,03/11/18 06:15:00 PM,103.299,17.855,100.322,0.304,,,,
31,03/11/18 06:30:00 PM,103.317,17.760,100.319,0.306,,,,
32,03/11/18 06:45:00 PM,103.324,17.570,100.334,0.305,,,,
33,03/11/18 07:00:00 PM,103.341,17.379,100.331,0.307,,,,
34,03/11/18 07:15:00 PM,103.347,17.189,100.343,0.307,,,,
35,03/11/18 07:30:00 PM,103.366,17.094,100.339,0.309,,,,
36,03/11/18 07:45:00 PM,103.364,16.999,100.353,0.307,,,,
37,03/11/18 08:00:00 PM,103.384,16.999,100.350,0.310,,,,
38,03/11/18 08:15:00 PM,103.394,16.999,100.364,0.309,,,,
39,03/11/18 08:30:00 PM,103.425,16.999,100.386,0.310,,,,
40,03/11/18 08:45:00 PM,103.425,16.999,100.414,0.307,,,,
41,03/11/18 09:00:00 PM,103.448,17.094,100.440,0.307,,,,
42,03/11/18 09:15:00 PM,103.458,17.094,100.445,0.308,,,,
43,03/11/18 09:30:00 PM,103.477,16.999,100.448,0.309,,,,
44,03/11/18 09:45:00 PM,103.489,17.094,100.468,0.309,,,,
45,03/11/18 10:00:00 PM,103.499,17.094,100.464,0.310,,,,
46,03/11/18 10:15:00 PM,103.489,17.094,100.491,0.306,,,,
47,03/11/18 10:30:00 PM,103.499,17.094,100.477,0.309,,,,
48,03/11/18 10:45:00 PM,103.510,17.094,100.487,0.309,,,,
49,03/11/18 11:00:00 PM,103.540,17.094,100.477,0.313,,,,
50,03/11/18 11:15:00 PM,103.520,17.094,100.501,0.308,,,,
51,03/11/18 11:30:00 PM,103.510,17.094,100.511,0.306,,,,
52,03/11/18 11:45:00 PM,103.510,17.094,100.488,0.309,,,,
53,03/12/18 12:00:00 AM,103.510,17.094,100.488,0.309,,,,
54,03/12/18 12:15:00 AM,103.508,16.999,100.505,0.307,,,,
55,03/12/18 12:30:00 AM,103.497,16.999,100.493,0.307,,,,
56,03/12/18 12:45:00 AM,103.516,16.903,100.510,0.307,,,,
57,03/12/18 01:00:00 AM,103.516,16.903,100.512,0.307,,,,
58,03/12/18 01:15:00 AM,103.522,16.713,100.523,0.306,,,,
59,03/12/18 01:30:00 AM,103.531,16.618,100.505,0.309,,,,
60,03/12/18 01:45:00 AM,103.504,16.332,100.497,0.307,,,,
61,03/12/18 02:00:00 AM,103.502,16.237,100.481,0.308,,,,
62,03/12/18 02:15:00 AM,103.521,16.141,100.504,0.308,,,,
63,03/12/18 02:30:00 AM,103.531,16.141,100.506,0.309,,,,
64,03/12/18 02:45:00 AM,103.488,16.046,100.486,0.307,,,,
65,03/12/18 03:00:00 AM,103.486,15.951,100.482,0.307,,,,
66,03/12/18 03:15:00 AM,103.454,15.855,100.438,0.308,,,,
67,03/12/18 03:30:00 AM,103.433,15.855,100.418,0.308,,,,
68,03/12/18 03:45:00 AM,103.429,15.664,100.428,0.306,,,,
69,03/12/18 04:00:00 AM,103.427,15.569,100.418,0.307,,,,
70,03/12/18 04:15:00 AM,103.405,15.473,100.421,0.305,,,,
71,03/12/18 04:30:00 AM,103.382,15.378,100.393,0.305,,,,
72,03/12/18 04:45:00 AM,103.393,15.378,100.386,0.307,,,,
73,03/12/18 05:00:00 AM,103.381,15.282,100.378,0.307,,,,
74,03/12/18 05:15:00 AM,103.370,15.282,100.354,0.308,,,,
75,03/12/18 05:30:00 AM,103.350,15.282,100.334,0.308,,,,
76,03/12/18 05:45:00 AM,103.348,15.187,100.358,0.305,,,,
77,03/12/18 06:00:00 AM,103.356,15.091,100.348,0.307,,,,
78,03/12/18 06:15:00 AM,103.346,15.091,100.350,0.306,,,,
79,03/12/18 06:30:00 AM,103.344,14.996,100.349,0.306,,,,
80,03/12/18 06:45:00 AM,103.352,14.900,100.359,0.306,,,,
81,03/12/18 07:00:00 AM,103.342,14.900,100.349,0.306,,,,
82,03/12/18 07:15:00 AM,103.363,14.900,100.369,0.306,,,,
83,03/12/18 07:30:00 AM,103.371,14.804,100.373,0.306,,,,
84,03/12/18 07:45:00 AM,103.380,14.709,100.406,0.304,,,,
85,03/12/18 08:00:00 AM,103.398,14.613,100.422,0.304,,,,
86,03/12/18 08:15:00 AM,103.407,14.517,100.446,0.302,,,,
87,03/12/18 08:30:00 AM,103.405,14.421,100.439,0.303,,,,
88,03/12/18 08:45:00 AM,103.425,14.421,100.451,0.304,,,,
89,03/12/18 09:00:00 AM,103.436,14.421,100.458,0.304,,,,
90,03/12/18 09:15:00 AM,103.456,14.421,100.485,0.303,,,,
91,03/12/18 09:30:00 AM,103.429,14.613,100.491,0.300,,,,
92,03/12/18 09:45:00 AM,103.435,14.900,100.482,0.301,,,,
93,03/12/18 10:00:00 AM,103.418,15.091,100.477,0.300,,,,
94,03/12/18 10:15:00 AM,103.401,15.282,100.444,0.302,,,,
95,03/12/18 10:30:00 AM,103.372,15.378,100.435,0.300,,,,
96,03/12/18 10:45:00 AM,103.374,15.473,100.421,0.301,,,,
97,03/12/18 11:00:00 AM,103.357,15.664,100.417,0.300,,,,
98,03/12/18 11:15:00 AM,103.359,15.760,100.404,0.302,,,,
99,03/12/18 11:30:00 AM,103.320,15.855,100.372,0.301,,,,
100,03/12/18 11:45:00 AM,103.315,16.141,100.375,0.300,,,,
101,03/12/18 12:00:00 PM,103.299,16.332,100.366,0.299,,,,
102,03/12/18 12:15:00 PM,103.270,16.427,100.331,0.300,,,,
103,03/12/18 12:30:00 PM,103.243,16.618,100.319,0.299,,,,
104,03/12/18 12:45:00 PM,103.187,16.903,100.278,0.297,,,,
105,03/12/18 01:00:00 PM,103.179,16.999,100.268,0.297,,,,
106,03/12/18 01:15:00 PM,103.172,17.189,100.229,0.301,,,,
107,03/12/18 01:30:00 PM,103.153,17.284,100.233,0.298,,,,
108,03/12/18 01:45:00 PM,103.128,17.570,100.194,0.300,,,,
109,03/12/18 02:00:00 PM,103.091,17.760,100.167,0.299,,,,
110,03/12/18 02:15:00 PM,103.064,17.950,100.128,0.300,,,,
111,03/12/18 02:30:00 PM,103.048,18.140,100.109,0.300,,,,
112,03/12/18 02:45:00 PM,103.019,18.236,100.089,0.299,,,,
113,03/12/18 03:00:00 PM,102.981,18.426,100.065,0.298,,,,
114,03/12/18 03:15:00 PM,102.994,18.521,100.045,0.301,,,,
115,03/12/18 03:30:00 PM,102.942,18.521,100.023,0.298,,,,
116,03/12/18 03:45:00 PM,102.909,18.901,100.000,0.297,,,,
117,03/12/18 04:00:00 PM,102.942,18.996,99.990,0.302,,,,
118,03/12/18 04:15:00 PM,102.890,18.996,99.958,0.300,,,,
119,03/12/18 04:30:00 PM,102.861,19.092,99.938,0.299,,,,
120,03/12/18 04:45:00 PM,102.841,19.092,99.923,0.298,,,,
121,03/12/18 05:00:00 PM,102.861,19.092,99.917,0.301,,,,
122,03/12/18 05:15:00 PM,102.827,18.901,99.887,0.300,,,,
123,03/12/18 05:30:00 PM,102.837,18.901,99.879,0.302,,,,
124,03/12/18 05:45:00 PM,102.845,18.806,99.870,0.304,,,,
125,03/12/18 06:00:00 PM,102.823,18.711,99.864,0.302,,,,
126,03/12/18 06:15:00 PM,102.833,18.711,99.866,0.303,,,,
127,03/12/18 06:30:00 PM,102.845,18.806,99.871,0.304,,,,
128,03/12/18 06:45:00 PM,102.825,18.806,99.860,0.303,,,,
129,03/12/18 07:00:00 PM,102.845,18.806,99.865,0.304,,,,
130,03/12/18 07:15:00 PM,102.827,18.901,99.867,0.302,,,,
131,03/12/18 07:30:00 PM,102.857,18.901,99.871,0.305,,,,
132,03/12/18 07:45:00 PM,102.847,18.901,99.882,0.303,,,,
133,03/12/18 08:00:00 PM,102.888,18.901,99.927,0.302,,,,
134,03/12/18 08:15:00 PM,102.899,18.901,99.939,0.302,,,,
135,03/12/18 08:30:00 PM,102.899,18.901,99.946,0.302,,,,
136,03/12/18 08:45:00 PM,102.929,18.901,99.958,0.304,,,,
137,03/12/18 09:00:00 PM,102.942,18.996,99.982,0.302,,,,
138,03/12/18 09:15:00 PM,102.962,18.996,100.003,0.302,,,,
139,03/12/18 09:30:00 PM,102.985,19.092,100.029,0.302,,,,
140,03/12/18 09:45:00 PM,103.014,18.996,100.065,0.301,,,,
141,03/12/18 10:00:00 PM,103.051,18.806,100.094,0.302,,,,
142,03/12/18 10:15:00 PM,103.080,18.711,100.124,0.302,,,,
143,03/12/18 10:30:00 PM,103.080,18.711,100.106,0.304,,,,
144,03/12/18 10:45:00 PM,103.088,18.616,100.119,0.303,,,,
145,03/12/18 11:00:00 PM,103.088,18.616,100.108,0.304,,,,
146,03/12/18 11:15:00 PM,103.117,18.521,100.141,0.304,,,,
147,03/12/18 11:30:00 PM,103.131,18.711,100.130,0.307,,,,
148,03/12/18 11:45:00 PM,103.113,18.806,100.106,0.307,,,,
149,03/13/18 12:00:00 AM,103.133,18.806,100.123,0.307,,,,
150,03/13/18 12:15:00 AM,103.080,18.711,100.109,0.304,,,,
151,03/13/18 12:30:00 AM,103.100,18.711,100.115,0.305,,,,
152,03/13/18 12:45:00 AM,103.088,18.616,100.098,0.305,,,,
153,03/13/18 01:00:00 AM,103.064,18.426,100.064,0.306,,,,
154,03/13/18 01:15:00 AM,103.051,18.331,100.054,0.306,,,,
155,03/13/18 01:30:00 AM,103.049,18.236,100.030,0.308,,,,
156,03/13/18 01:45:00 AM,102.988,18.236,100.006,0.305,,,,
157,03/13/18 02:00:00 AM,103.019,18.236,100.026,0.306,,,,
158,03/13/18 02:15:00 AM,103.015,18.045,100.030,0.305,,,,
159,03/13/18 02:30:00 AM,103.013,17.950,100.027,0.305,,,,
160,03/13/18 02:45:00 AM,102.992,17.950,100.031,0.302,,,,
161,03/13/18 03:00:00 AM,103.001,17.855,100.001,0.306,,,,
162,03/13/18 03:15:00 AM,102.980,17.855,99.990,0.305,,,,
163,03/13/18 03:30:00 AM,102.990,17.855,99.987,0.307,,,,
164,03/13/18 03:45:00 AM,102.956,17.665,99.959,0.306,,,,
165,03/13/18 04:00:00 AM,102.966,17.665,99.979,0.305,,,,
166,03/13/18 04:15:00 AM,102.964,17.570,99.996,0.303,,,,
167,03/13/18 04:30:00 AM,102.962,17.475,99.986,0.304,,,,
168,03/13/18 04:45:00 AM,102.981,17.379,99.996,0.305,,,,
169,03/13/18 05:00:00 AM,102.991,17.379,99.978,0.308,,,,
170,03/13/18 05:15:00 AM,102.981,17.379,99.985,0.306,,,,
171,03/13/18 05:30:00 AM,102.938,17.284,99.955,0.305,,,,
172,03/13/18 05:45:00 AM,102.948,17.284,99.965,0.305,,,,
173,03/13/18 06:00:00 AM,102.966,17.189,99.955,0.307,,,,
174,03/13/18 06:15:00 AM,102.944,17.094,99.955,0.305,,,,
175,03/13/18 06:30:00 AM,102.954,17.094,99.955,0.306,,,,
176,03/13/18 06:45:00 AM,102.942,16.999,99.947,0.306,,,,
177,03/13/18 07:00:00 AM,102.920,16.903,99.930,0.305,,,,
178,03/13/18 07:15:00 AM,102.920,16.903,99.926,0.306,,,,
179,03/13/18 07:30:00 AM,102.918,16.808,99.921,0.306,,,,
180,03/13/18 07:45:00 AM,102.928,16.808,99.902,0.309,,,,
181,03/13/18 08:00:00 AM,102.895,16.713,99.889,0.307,,,,
182,03/13/18 08:15:00 AM,102.875,16.713,99.904,0.303,,,,
183,03/13/18 08:30:00 AM,102.885,16.713,99.895,0.305,,,,
184,03/13/18 08:45:00 AM,102.864,16.713,99.882,0.305,,,,
185,03/13/18 09:00:00 AM,102.895,16.713,99.910,0.305,,,,
186,03/13/18 09:15:00 AM,102.947,16.713,99.964,0.305,,,,
187,03/13/18 09:30:00 AM,102.916,16.713,99.937,0.304,,,,
188,03/13/18 09:45:00 AM,102.916,16.713,99.911,0.307,,,,
189,03/13/18 10:00:00 AM,102.926,16.713,99.935,0.305,,,,
190,03/13/18 10:15:00 AM,102.905,16.713,99.919,0.305,,,,
191,03/13/18 10:30:00 AM,102.926,16.713,99.925,0.306,,,,
192,03/13/18 10:45:00 AM,102.914,16.618,99.922,0.306,,,,
193,03/13/18 11:00:00 AM,102.926,16.713,99.912,0.308,,,,
194,03/13/18 11:15:00 AM,102.936,16.713,99.912,0.309,,,,
195,03/13/18 11:30:00 AM,102.936,16.713,99.943,0.306,,,,
196,03/13/18 11:45:00 AM,102.938,16.808,99.913,0.309,,,,
197,03/13/18 12:00:00 PM,102.920,16.903,99.908,0.308,,,,
198,03/13/18 12:15:00 PM,102.899,16.903,99.900,0.306,,,,
199,03/13/18 12:30:00 PM,102.901,16.999,99.890,0.307,,,,
200,03/13/18 12:45:00 PM,102.913,17.094,99.874,0.310,,,,
201,03/13/18 01:00:00 PM,102.884,17.189,99.895,0.305,,,,
202,03/13/18 01:15:00 PM,102.905,17.189,99.862,0.311,,,,
203,03/13/18 01:30:00 PM,102.898,17.379,99.878,0.308,,,,
204,03/13/18 01:45:00 PM,102.849,17.475,99.848,0.306,,,,
205,03/13/18 02:00:00 PM,102.828,17.475,99.827,0.306,,,,
206,03/13/18 02:15:00 PM,102.900,17.475,99.766,0.320,,,,
207,03/13/18 02:30:00 PM,102.912,17.570,99.807,0.317,,,,
208,03/13/18 02:45:00 PM,102.952,17.475,99.829,0.319,,,,
209,03/13/18 03:00:00 PM,102.941,17.475,99.824,0.318,,,,
210,03/13/18 03:15:00 PM,102.983,17.475,99.857,0.319,,,,
211,03/13/18 03:30:00 PM,102.962,17.475,99.856,0.317,,,,
212,03/13/18 03:45:00 PM,102.962,17.475,99.845,0.318,,,,
213,03/13/18 04:00:00 PM,102.972,17.475,99.856,0.318,,,,
214,03/13/18 04:15:00 PM,102.970,17.379,99.848,0.319,,,,
215,03/13/18 04:30:00 PM,102.970,17.379,99.837,0.320,,,,
216,03/13/18 04:45:00 PM,103.001,17.379,99.806,0.326,,,,
217,03/13/18 05:00:00 PM,102.999,17.284,99.807,0.326,,,,
218,03/13/18 05:15:00 PM,103.020,17.284,99.816,0.327,,,,
219,03/13/18 05:30:00 PM,103.020,17.284,99.802,0.329,,,,
220,03/13/18 05:45:00 PM,102.999,17.284,99.802,0.326,,,,
221,03/13/18 06:00:00 PM,102.997,17.189,99.815,0.325,,,,
222,03/13/18 06:15:00 PM,103.018,17.189,99.818,0.327,,,,
223,03/13/18 06:30:00 PM,103.069,17.189,99.833,0.330,,,,
224,03/13/18 06:45:00 PM,103.080,17.189,99.843,0.331,,,,
225,03/13/18 07:00:00 PM,103.119,17.094,99.855,0.333,,,,
226,03/13/18 07:15:00 PM,103.108,17.094,99.848,0.333,,,,
227,03/13/18 07:30:00 PM,103.117,16.999,99.854,0.333,,,,
228,03/13/18 07:45:00 PM,103.137,16.999,99.881,0.333,,,,
229,03/13/18 08:00:00 PM,103.117,16.999,99.867,0.332,,,,
230,03/13/18 08:15:00 PM,103.156,16.903,99.910,0.331,,,,
231,03/13/18 08:30:00 PM,103.195,16.808,99.923,0.334,,,,
232,03/13/18 08:45:00 PM,103.195,16.808,99.905,0.336,,,,
233,03/13/18 09:00:00 PM,103.206,16.808,99.918,0.336,,,,
234,03/13/18 09:15:00 PM,103.224,16.713,99.937,0.336,,,,
235,03/13/18 09:30:00 PM,103.265,16.713,99.984,0.335,,,,
236,03/13/18 09:45:00 PM,103.276,16.713,99.990,0.336,,,,
237,03/13/18 10:00:00 PM,103.274,16.618,99.987,0.336,,,,
238,03/13/18 10:15:00 PM,103.292,16.523,99.997,0.336,,,,
239,03/13/18 10:30:00 PM,103.290,16.427,100.000,0.336,,,,
240,03/13/18 10:45:00 PM,103.321,16.427,100.000,0.339,,,,
241,03/13/18 11:00:00 PM,103.297,16.237,99.994,0.337,,,,
242,03/13/18 11:15:00 PM,103.315,16.141,100.011,0.337,,,,
243,03/13/18 11:30:00 PM,103.336,16.141,100.031,0.337,,,,
244,03/13/18 11:45:00 PM,103.346,16.141,100.031,0.338,,,,
245,03/14/18 12:00:00 AM,103.326,16.141,100.023,0.337,,,,
246,03/14/18 12:15:00 AM,103.334,16.046,100.025,0.338,,,,
247,03/14/18 12:30:00 AM,103.334,16.046,100.039,0.336,,,,
248,03/14/18 12:45:00 AM,103.365,16.046,100.044,0.339,,,,
249,03/14/18 01:00:00 AM,103.344,16.046,100.039,0.337,,,,
250,03/14/18 01:15:00 AM,103.365,16.046,100.048,0.339,,,,
251,03/14/18 01:30:00 AM,103.363,15.951,100.061,0.337,,,,
252,03/14/18 01:45:00 AM,103.384,15.951,100.069,0.338,,,,
253,03/14/18 02:00:00 AM,103.384,15.951,100.066,0.339,,,,
254,03/14/18 02:15:00 AM,103.404,15.951,100.082,0.339,,,,
255,03/14/18 02:30:00 AM,103.413,15.855,100.086,0.340,,,,
256,03/14/18 02:45:00 AM,103.413,15.378,100.108,0.337,,,,
257,03/14/18 03:00:00 AM,103.442,15.282,100.117,0.339,,,,
258,03/14/18 03:15:00 AM,103.403,15.378,100.098,0.337,,,,
259,03/14/18 03:30:00 AM,103.413,15.378,100.096,0.339,,,,
260,03/14/18 03:45:00 AM,103.413,15.378,100.099,0.338,,,,
261,03/14/18 04:00:00 AM,103.384,15.473,100.083,0.337,,,,
262,03/14/18 04:15:00 AM,103.364,15.473,100.063,0.337,,,,
263,03/14/18 04:30:00 AM,103.362,15.378,100.045,0.339,,,,
264,03/14/18 04:45:00 AM,103.367,15.091,100.045,0.339,,,,
265,03/14/18 05:00:00 AM,103.354,14.996,100.033,0.339,,,,
266,03/14/18 05:15:00 AM,103.365,14.996,100.039,0.340,,,,
267,03/14/18 05:30:00 AM,103.365,14.996,100.037,0.340,,,,
268,03/14/18 05:45:00 AM,103.365,14.996,100.034,0.340,,,,
269,03/14/18 06:00:00 AM,103.365,14.996,100.028,0.341,,,,
270,03/14/18 06:15:00 AM,103.385,14.996,100.058,0.340,,,,
271,03/14/18 06:30:00 AM,103.365,14.996,100.038,0.340,,,,
272,03/14/18 06:45:00 AM,103.385,14.996,100.068,0.339,,,,
273,03/14/18 07:00:00 AM,103.385,14.996,100.058,0.340,,,,
274,03/14/18 07:15:00 AM,103.395,14.996,100.062,0.340,,,,
275,03/14/18 07:30:00 AM,103.406,14.996,100.083,0.339,,,,
276,03/14/18 07:45:00 AM,103.395,14.996,100.094,0.337,,,,
277,03/14/18 08:00:00 AM,103.416,14.996,100.088,0.340,,,,
278,03/14/18 08:15:00 AM,103.414,14.900,100.116,0.337,,,,
279,03/14/18 08:30:00 AM,103.431,14.709,100.123,0.338,,,,
280,03/14/18 08:45:00 AM,103.431,14.709,100.101,0.340,,,,
281,03/14/18 09:00:00 AM,103.450,14.613,100.126,0.339,,,,
282,03/14/18 09:15:00 AM,103.429,14.613,100.124,0.337,,,,
283,03/14/18 09:30:00 AM,103.431,14.709,100.115,0.338,,,,
284,03/14/18 09:45:00 AM,103.429,14.613,100.107,0.339,,,,
285,03/14/18 10:00:00 AM,103.441,14.709,100.142,0.337,,,,
286,03/14/18 10:15:00 AM,103.441,14.709,100.128,0.338,,,,
287,03/14/18 10:30:00 AM,103.431,14.709,100.146,0.335,,,,
288,03/14/18 10:45:00 AM,103.441,14.709,100.128,0.338,,,,
289,03/14/18 11:00:00 AM,103.453,14.804,100.121,0.340,,,,
290,03/14/18 11:15:00 AM,103.433,14.804,100.129,0.337,,,,
291,03/14/18 11:30:00 AM,103.464,14.804,100.147,0.339,,,,
292,03/14/18 11:45:00 AM,103.453,14.804,100.142,0.338,,,,
293,03/14/18 12:00:00 PM,103.455,14.900,100.148,0.338,,,,
294,03/14/18 12:15:00 PM,103.435,14.900,100.132,0.337,,,,
295,03/14/18 12:30:00 PM,103.435,14.900,100.118,0.339,,,,
296,03/14/18 12:45:00 PM,103.435,14.900,100.132,0.337,,,,
297,03/14/18 01:00:00 PM,103.414,14.900,100.120,0.336,,,,
298,03/14/18 01:15:00 PM,103.414,14.900,100.108,0.337,,,,
299,03/14/18 01:30:00 PM,103.424,14.900,100.134,0.336,,,,
300,03/14/18 01:45:00 PM,103.414,14.900,100.128,0.335,,,,
301,03/14/18 02:00:00 PM,103.383,14.900,100.105,0.335,,,,
302,03/14/18 02:15:00 PM,103.394,14.900,100.102,0.336,,,,
303,03/14/18 02:30:00 PM,103.373,14.900,100.079,0.336,,,,
304,03/14/18 02:45:00 PM,103.344,14.996,100.085,0.333,,,,
305,03/14/18 03:00:00 PM,103.375,14.996,100.087,0.336,,,,
306,03/14/18 03:15:00 PM,103.346,15.091,100.087,0.333,,,,
307,03/14/18 03:30:00 PM,103.346,15.091,100.053,0.336,,,,
308,03/14/18 03:45:00 PM,103.346,15.091,100.060,0.335,,,,
309,03/14/18 04:00:00 PM,103.348,15.187,100.064,0.335,,,,
310,03/14/18 04:15:00 PM,103.338,15.187,100.068,0.334,,,,
311,03/14/18 04:30:00 PM,103.321,15.378,100.046,0.334,,,,
312,03/14/18 04:45:00 PM,103.331,15.378,100.037,0.336,,,,
313,03/14/18 05:00:00 PM,103.329,15.282,100.043,0.335,,,,
314,03/14/18 05:15:00 PM,103.309,15.282,100.031,0.335,,,,
315,03/14/18 05:30:00 PM,103.348,15.187,100.031,0.339,,,,
316,03/14/18 05:45:00 PM,103.348,15.187,100.036,0.338,,,,
317,03/14/18 06:00:00 PM,103.317,15.187,100.015,0.337,,,,
318,03/14/18 06:15:00 PM,103.327,15.187,100.035,0.336,,,,
319,03/14/18 06:30:00 PM,103.338,15.187,100.038,0.337,,,,
320,03/14/18 06:45:00 PM,103.336,15.091,100.022,0.338,,,,
321,03/14/18 07:00:00 PM,103.325,15.091,100.030,0.336,,,,
322,03/14/18 07:15:00 PM,103.324,14.996,100.017,0.338,,,,
323,03/14/18 07:30:00 PM,103.322,14.900,99.999,0.339,,,,
324,03/14/18 07:45:00 PM,103.311,14.900,100.011,0.337,,,,
325,03/14/18 08:00:00 PM,103.297,14.709,99.997,0.337,,,,
326,03/14/18 08:15:00 PM,103.318,14.709,100.028,0.336,,,,
327,03/14/18 08:30:00 PM,103.330,14.804,100.034,0.336,,,,
328,03/14/18 08:45:00 PM,103.328,14.709,100.030,0.337,,,,
329,03/14/18 09:00:00 PM,103.357,14.613,100.043,0.338,,,,
330,03/14/18 09:15:00 PM,103.357,14.613,100.066,0.336,,,,
331,03/14/18 09:30:00 PM,103.378,14.613,100.082,0.336,,,,
332,03/14/18 09:45:00 PM,103.396,14.517,100.102,0.336,,,,
333,03/14/18 10:00:00 PM,103.407,14.517,100.096,0.338,,,,
334,03/14/18 10:15:00 PM,103.405,14.421,100.120,0.335,,,,
335,03/14/18 10:30:00 PM,103.423,14.325,100.113,0.338,,,,
336,03/14/18 10:45:00 PM,103.421,14.230,100.116,0.337,,,,
337,03/14/18 11:00:00 PM,103.420,14.134,100.108,0.338,,,,
338,03/14/18 11:15:00 PM,103.420,14.134,100.125,0.336,,,,
339,03/14/18 11:30:00 PM,103.407,14.038,100.115,0.336,,,,
340,03/14/18 11:45:00 PM,103.406,13.942,100.125,0.335,,,,
341,03/15/18 12:00:00 AM,103.435,13.846,100.125,0.338,,,,
342,03/15/18 12:15:00 AM,103.422,13.750,100.135,0.335,,,,
343,03/15/18 12:30:00 AM,103.421,13.654,100.131,0.336,,,,
344,03/15/18 12:45:00 AM,103.429,13.558,100.127,0.337,,,,
345,03/15/18 01:00:00 AM,103.437,13.461,100.144,0.336,,,,
346,03/15/18 01:15:00 AM,103.466,13.365,100.150,0.338,,,,
347,03/15/18 01:30:00 AM,103.446,13.365,100.139,0.338,,,,
348,03/15/18 01:45:00 AM,103.454,13.269,100.157,0.336,,,,
349,03/15/18 02:00:00 AM,103.473,13.173,100.156,0.339,,,,
350,03/15/18 02:15:00 AM,103.461,13.076,100.145,0.338,,,,
351,03/15/18 02:30:00 AM,103.457,12.883,100.170,0.335,,,,
352,03/15/18 02:45:00 AM,103.465,12.787,100.148,0.339,,,,
353,03/15/18 03:00:00 AM,103.453,12.690,100.160,0.336,,,,
354,03/15/18 03:15:00 AM,103.464,12.690,100.153,0.338,,,,
355,03/15/18 03:30:00 AM,103.451,12.594,100.143,0.338,,,,
356,03/15/18 03:45:00 AM,103.439,12.497,100.149,0.336,,,,
357,03/15/18 04:00:00 AM,103.468,12.401,100.175,0.336,,,,
358,03/15/18 04:15:00 AM,103.456,12.304,100.171,0.335,,,,
359,03/15/18 04:30:00 AM,103.475,12.207,100.177,0.337,,,,
360,03/15/18 04:45:00 AM,103.463,12.110,100.184,0.335,,,,
361,03/15/18 05:00:00 AM,103.481,12.013,100.196,0.335,,,,
362,03/15/18 05:15:00 AM,103.449,11.916,100.170,0.335,,,,
363,03/15/18 05:30:00 AM,103.457,11.819,100.166,0.336,,,,
364,03/15/18 05:45:00 AM,103.486,11.722,100.178,0.338,,,,
365,03/15/18 06:00:00 AM,103.494,11.625,100.200,0.336,,,,
366,03/15/18 06:15:00 AM,103.503,11.528,100.203,0.337,,,,
367,03/15/18 06:30:00 AM,103.540,11.334,100.235,0.337,,,,
368,03/15/18 06:45:00 AM,103.538,11.236,100.227,0.338,,,,
369,03/15/18 07:00:00 AM,103.549,11.236,100.233,0.338,,,,
370,03/15/18 07:15:00 AM,103.557,11.139,100.239,0.339,,,,
371,03/15/18 07:30:00 AM,103.557,11.139,100.251,0.337,,,,
372,03/15/18 07:45:00 AM,103.578,11.139,100.276,0.337,,,,
373,03/15/18 08:00:00 AM,103.576,11.041,100.299,0.334,,,,
